# NES ROM information (CSV format)
# Fields: rom_id, name, country, crc, hardware, rom_class, mapper, submapper, nametable_layout, prg_rom_size, prg_rom_crc, prg_nvram_size, prg_ram_size, chr_rom_size, chr_rom_crc, chr_nvram_size, chr_ram_size, battery, vs_hardware_type, vs_ppu_type, expansion_type
# Each line is a single ROM entry. Empty fields are left blank.
148,Don Doko Don,,7A497AE3,2,Licensed Japan,33,0,H,131072,59CD0C31,0,0,262144,59B17B81,0,0,0,,,1
149,Donald Duck,,E66BDDCF,2,Licensed Japan,1,0,H,131072,B8B2E479,0,0,131072,DB684F71,0,0,0,,,1
150,Donald Land,,D17B76DA,2,Licensed Japan,1,0,H,131072,6FD39BD7,0,0,131072,E9FC32A9,0,0,0,,,1
151,Donkey Kong,,F863D5BB,2,Licensed Japan,0,0,H,16384,06D1A012,0,0,8192,A21D7C2E,0,0,0,,,1
152,Donkey Kong,,6F97C721,6,Licensed Japan,0,0,H,16384,F56A5B10,0,0,8192,A21D7C2E,0,0,0,,,1
153,Donkey Kong 3,,B3D74C0D,6,Licensed Japan,0,0,V,16384,5EF4F30C,0,0,8192,85D06C57,0,0,0,,,1
154,,,E211B93A,2,Licensed Japan,0,0,V,16384,1053136E,0,0,8192,852778AB,0,0,0,,,1
155,Donkey Kong Jr.,,4864C304,6,Licensed Japan,0,0,V,16384,CF6C88B6,0,0,8192,852778AB,0,0,0,,,1
156,Donkey Kong Jr. no Sansuu Asobi,,63AEA200,2,Licensed Japan,0,0,V,16384,927ABA9D,0,0,8192,8975B3C2,0,0,0,,,1
157,Donkey Kong Jr. / Jr. Sansuu Lesson,,50A1B3FE,2,Licensed Japan,0,0,H,16384,27E4D335,0,0,8192,884379D1,0,0,0,,,1
158,Door Door,,12E6CB79,2,Licensed Japan,0,0,H,16384,021193B2,0,0,8192,AE41CFEF,0,0,0,,,1
159,Double Dragon III: The Rosetta Stone,,6AE69227,2,Licensed Japan,4,0,H,131072,0D365112,0,0,131072,AF484499,0,0,0,,,1
